,id,Premises,Relations,Prompt,Correct,Type,n_p,Derivation,pPrems,pCorrect,taskPremise,Premise1,Premise2,extraPremises,option1,option2,option3
59,6,"['My key is here today', 'Your phone was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'yes'.
My key is here today. Your phone was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[0, 1, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would my key be here today?
2: Would my key have been there yesterday?
3: Would your phone be here today?","['no select', 'select', 'select']",Select all questions to which the answer is 'yes'.,My key is here today,Your phone was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would my key be here today?,Would my key have been there yesterday?,Would your phone be here today?
60,7,"['The bleu chair is here today', 'The green table was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The bleu chair is here today. The green table was there yesterday.","[0, 0, 1]",Regular,2,Mutual,"
1: Was the green table there yesterday?
2: Is the bleu chair here today?
3: Was the bleu chair there yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,The bleu chair is here today,The green table was there yesterday.,,Was the green table there yesterday?,Is the bleu chair here today?,Was the bleu chair there yesterday?
61,8,"['The bleu chair is here today', 'The green table was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The bleu chair is here today. The green table was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[1, 0, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would the green table have been there yesterday?
2: Would the bleu chair have been there yesterday?
3: Would the bleu chair be here today?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,The bleu chair is here today,The green table was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would the green table have been there yesterday?,Would the bleu chair have been there yesterday?,Would the bleu chair be here today?
62,9,"['The fridge is here today', 'The sink was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The fridge is here today. The sink was there yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Was the fridge there yesterday?
2: Was the sink there yesterday?
3: Is the fridge here today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,The fridge is here today,The sink was there yesterday.,,Was the fridge there yesterday?,Was the sink there yesterday?,Is the fridge here today?
63,10,"['The fridge is here today', 'The sink was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The fridge is here today. The sink was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[0, 0, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would the sink be here today?
2: Would the fridge have been there yesterday?
3: Would the sink have been there yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,The fridge is here today,The sink was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would the sink be here today?,Would the fridge have been there yesterday?,Would the sink have been there yesterday?
64,11,"['The car is here today', 'Your bicycle was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The car is here today. Your bicycle was there yesterday.","[0, 1, 0]",Regular,2,Mutual,"
1: Is the car here today?
2: Was the car there yesterday?
3: Was your bicycle there yesterday?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,The car is here today,Your bicycle was there yesterday.,,Is the car here today?,Was the car there yesterday?,Was your bicycle there yesterday?
65,12,"['The car is here today', 'Your bicycle was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The car is here today. Your bicycle was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[1, 0, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would the car be here today?
2: Would your bicycle be here today?
3: Would your bicycle have been there yesterday?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,The car is here today,Your bicycle was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would the car be here today?,Would your bicycle be here today?,Would your bicycle have been there yesterday?
66,13,"['The post office is here today', 'The store was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'yes'.
The post office is here today. The store was there yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Was the store there yesterday?
2: Was the post office there yesterday?
3: Is the store here today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,The post office is here today,The store was there yesterday.,,Was the store there yesterday?,Was the post office there yesterday?,Is the store here today?
67,14,"['The post office is here today', 'The store was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The post office is here today. The store was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[0, 1, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would the post office have been there yesterday?
2: Would the store have been there yesterday?
3: Would the post office be here today?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,The post office is here today,The store was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would the post office have been there yesterday?,Would the store have been there yesterday?,Would the post office be here today?
68,15,"['The bank is here today', 'The supermarket was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The bank is here today. The supermarket was there yesterday.","[1, 1, 0]",Regular,2,Mutual,"
1: Is the supermarket here today?
2: Was the bank there yesterday?
3: Was the supermarket there yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,The bank is here today,The supermarket was there yesterday.,,Is the supermarket here today?,Was the bank there yesterday?,Was the supermarket there yesterday?
69,16,"['The bank is here today', 'The supermarket was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The bank is here today. The supermarket was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[0, 0, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would the supermarket be here today?
2: Would the bank have been there yesterday?
3: Would the bank be here today?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,The bank is here today,The supermarket was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would the supermarket be here today?,Would the bank have been there yesterday?,Would the bank be here today?
70,17,"['The remote is here today', 'The book you are reading was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'no'.
The remote is here today. The book you are reading was there yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Is the book you are reading here today?
2: Is the remote here today?
3: Was the book you are reading there yesterday?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,The remote is here today,The book you are reading was there yesterday.,,Is the book you are reading here today?,Is the remote here today?,Was the book you are reading there yesterday?
71,18,"['The remote is here today', 'The book you are reading was there yesterday.']",['temporal+spatial'],"Select all questions to which the answer is 'yes'.
The remote is here today. The book you are reading was there yesterday. If here were there and there were here and if today were yesterday and yesterday were today;","[1, 0, 1]",Spatial+Temporal Reversal,2,Mutual,"
1: Would the remote have been there yesterday?
2: Would the book you are reading have been there yesterday?
3: Would the book you are reading be here today?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,The remote is here today,The book you are reading was there yesterday.,If here were there and there were here and if today were yesterday and yesterday were today;,Would the remote have been there yesterday?,Would the book you are reading have been there yesterday?,Would the book you are reading be here today?
72,1,"['I think football is the best sport today', 'You thought football is a nuisance yesterday.']",['IPthinking+temporal'],"Select all questions to which the answer is 'yes'.
I think football is the best sport today. You thought football is a nuisance yesterday.","[0, 0, 1]",Regular,2,Mutual,"
1: Did you think football is the best sport yesterday?
2: Do I think football is a nuisance today?
3: Did you think football is a nuisance yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,I think football is the best sport today,You thought football is a nuisance yesterday.,,Did you think football is the best sport yesterday?,Do I think football is a nuisance today?,Did you think football is a nuisance yesterday?
73,2,"['I think football is the best sport today', 'You thought football is a nuisance yesterday.']",['IPthinking+temporal'],"Select all questions to which the answer is 'no'.
I think football is the best sport today. You thought football is a nuisance yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[0, 1, 1]",IP+Temporal Reversal,2,Mutual,"
1: Would you have thought football is the best sport yesterday?
2: Would you have thought football is a nuisance yesterday?
3: Would I think football is the best sport today?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,I think football is the best sport today,You thought football is a nuisance yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would you have thought football is the best sport yesterday?,Would you have thought football is a nuisance yesterday?,Would I think football is the best sport today?
74,3,"['I think tennis is boring to watch today', 'You thought tennis is very entertaining yesterday.']",['IPthinking+temporal'],"Select all questions to which the answer is 'yes'.
I think tennis is boring to watch today. You thought tennis is very entertaining yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Do I think tennis is boring to watch today?
2: Did you think tennis is boring to watch yesterday?
3: Do I think tennis is very entertaining today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,I think tennis is boring to watch today,You thought tennis is very entertaining yesterday.,,Do I think tennis is boring to watch today?,Did you think tennis is boring to watch yesterday?,Do I think tennis is very entertaining today?
75,4,"['I think tennis is boring to watch today', 'You thought tennis is very entertaining yesterday.']",['IPthinking+temporal'],"Select all questions to which the answer is 'no'.
I think tennis is boring to watch today. You thought tennis is very entertaining yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[0, 1, 0]",IP+Temporal Reversal,2,Mutual,"
1: Would I think tennis is very entertaining today?
2: Would you have thought tennis is very entertaining yesterday?
3: Would you have thought tennis is boring to watch yesterday?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I think tennis is boring to watch today,You thought tennis is very entertaining yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would I think tennis is very entertaining today?,Would you have thought tennis is very entertaining yesterday?,Would you have thought tennis is boring to watch yesterday?
76,5,"['I think reading is fun today', 'You thought reading is boring yesterday.']",['IPthinking+temporal'],"Select all questions to which the answer is 'yes'.
I think reading is fun today. You thought reading is boring yesterday.","[1, 1, 0]",Regular,2,Mutual,"
1: Do I think reading is fun today?
2: Did you think reading is boring yesterday?
3: Did you think reading is fun yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,I think reading is fun today,You thought reading is boring yesterday.,,Do I think reading is fun today?,Did you think reading is boring yesterday?,Did you think reading is fun yesterday?
77,6,"['I think reading is fun today', 'You thought reading is boring yesterday.']",['IPthinking+temporal'],"Select all questions to which the answer is 'no'.
I think reading is fun today. You thought reading is boring yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[0, 1, 0]",IP+Temporal Reversal,2,Mutual,"
1: Would I think reading is boring today?
2: Would I think reading is fun today?
3: Would you have thought reading is fun yesterday?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I think reading is fun today,You thought reading is boring yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would I think reading is boring today?,Would I think reading is fun today?,Would you have thought reading is fun yesterday?
78,7,"['You feel awfull today', 'I felt guilty yesterday.']",['IPfeeling+temporal'],"Select all questions to which the answer is 'yes'.
You feel awfull today. I felt guilty yesterday.","[1, 0, 0]",Regular,2,Mutual,"
1: Did I feel guilty yesterday?
2: Did I feel awfull yesterday?
3: Do you feel guilty today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,You feel awfull today,I felt guilty yesterday.,,Did I feel guilty yesterday?,Did I feel awfull yesterday?,Do you feel guilty today?
79,8,"['You feel awfull today', 'I felt guilty yesterday.']",['IPfeeling+temporal'],"Select all questions to which the answer is 'no'.
You feel awfull today. I felt guilty yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[0, 1, 1]",IP+Temporal Reversal,2,Mutual,"
1: Would you feel guilty today?
2: Would I have felt guilty yesterday?
3: Would you feel awfull today?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,You feel awfull today,I felt guilty yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would you feel guilty today?,Would I have felt guilty yesterday?,Would you feel awfull today?
80,9,"['You feel a little sick today', 'I felt fine yesterday.']",['IPfeeling+temporal'],"Select all questions to which the answer is 'no'.
You feel a little sick today. I felt fine yesterday.","[0, 1, 1]",Regular,2,Mutual,"
1: Do you feel a little sick today?
2: Do you feel fine today?
3: Did I feel a little sick yesterday?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,You feel a little sick today,I felt fine yesterday.,,Do you feel a little sick today?,Do you feel fine today?,Did I feel a little sick yesterday?
81,10,"['You feel a little sick today', 'I felt fine yesterday.']",['IPfeeling+temporal'],"Select all questions to which the answer is 'yes'.
You feel a little sick today. I felt fine yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[0, 0, 1]",IP+Temporal Reversal,2,Mutual,"
1: Would you feel a little sick today?
2: Would I have felt fine yesterday?
3: Would you feel fine today?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,You feel a little sick today,I felt fine yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would you feel a little sick today?,Would I have felt fine yesterday?,Would you feel fine today?
82,11,"['You feel agitated today', 'I felt relaxed yesterday.']",['IPfeeling+temporal'],"Select all questions to which the answer is 'yes'.
You feel agitated today. I felt relaxed yesterday.","[0, 0, 1]",Regular,2,Mutual,"
1: Did I feel agitated yesterday?
2: Do you feel relaxed today?
3: Did I feel relaxed yesterday?","['no select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,You feel agitated today,I felt relaxed yesterday.,,Did I feel agitated yesterday?,Do you feel relaxed today?,Did I feel relaxed yesterday?
83,12,"['You feel agitated today', 'I felt relaxed yesterday.']",['IPfeeling+temporal'],"Select all questions to which the answer is 'yes'.
You feel agitated today. I felt relaxed yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[1, 1, 0]",IP+Temporal Reversal,2,Mutual,"
1: Would you feel relaxed today?
2: Would I have felt agitated yesterday?
3: Would I have felt relaxed yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,You feel agitated today,I felt relaxed yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would you feel relaxed today?,Would I have felt agitated yesterday?,Would I have felt relaxed yesterday?
84,13,"['You are sitting on a blue chair today', 'I was sitting on a black chair yesterday.']",['IPdoing+temporal'],"Select all questions to which the answer is 'yes'.
You are sitting on a blue chair today. I was sitting on a black chair yesterday.","[1, 1, 0]",Regular,2,Mutual,"
1: Was I sitting on a black chair yesterday?
2: Are you sitting on a blue chair today?
3: Was I sitting on a blue chair yesterday?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,You are sitting on a blue chair today,I was sitting on a black chair yesterday.,,Was I sitting on a black chair yesterday?,Are you sitting on a blue chair today?,Was I sitting on a blue chair yesterday?
85,14,"['You are sitting on a blue chair today', 'I was sitting on a black chair yesterday.']",['IPdoing+temporal'],"Select all questions to which the answer is 'yes'.
You are sitting on a blue chair today. I was sitting on a black chair yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[1, 1, 0]",IP+Temporal Reversal,2,Mutual,"
1: Would I have been sitting on a blue chair yesterday?
2: Would you be sitting on a black chair today?
3: Would you be sitting on a blue chair today?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,You are sitting on a blue chair today,I was sitting on a black chair yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would I have been sitting on a blue chair yesterday?,Would you be sitting on a black chair today?,Would you be sitting on a blue chair today?
86,15,"['I am reading a magazine today', 'You were watching TikToks yesterday.']",['IPdoing+temporal'],"Select all questions to which the answer is 'no'.
I am reading a magazine today. You were watching TikToks yesterday.","[0, 0, 1]",Regular,2,Mutual,"
1: Were you watching TikToks yesterday?
2: Am I reading a magazine today?
3: Am I watching TikToks today?","['no select', 'no select', 'select']",Select all questions to which the answer is 'no'.,I am reading a magazine today,You were watching TikToks yesterday.,,Were you watching TikToks yesterday?,Am I reading a magazine today?,Am I watching TikToks today?
87,16,"['I am reading a magazine today', 'You were watching TikToks yesterday.']",['IPdoing+temporal'],"Select all questions to which the answer is 'yes'.
I am reading a magazine today. You were watching TikToks yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[1, 0, 0]",IP+Temporal Reversal,2,Mutual,"
1: Would you have been reading a magazine yesterday?
2: Would you have been watching TikToks yesterday?
3: Would I be reading a magazine today?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,I am reading a magazine today,You were watching TikToks yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would you have been reading a magazine yesterday?,Would you have been watching TikToks yesterday?,Would I be reading a magazine today?
88,17,"['I am reading a newspaper today', 'You were scrolling Instagram yesterday.']",['IPdoing+temporal'],"Select all questions to which the answer is 'yes'.
I am reading a newspaper today. You were scrolling Instagram yesterday.","[1, 0, 1]",Regular,2,Mutual,"
1: Am I reading a newspaper today?
2: Am I scrolling Instagram today?
3: Were you scrolling Instagram yesterday?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,I am reading a newspaper today,You were scrolling Instagram yesterday.,,Am I reading a newspaper today?,Am I scrolling Instagram today?,Were you scrolling Instagram yesterday?
89,18,"['I am reading a newspaper today', 'You were scrolling Instagram yesterday.']",['IPdoing+temporal'],"Select all questions to which the answer is 'yes'.
I am reading a newspaper today. You were scrolling Instagram yesterday. If I were you and you were me and if today were yesterday and yesterday were today;","[1, 0, 1]",IP+Temporal Reversal,2,Mutual,"
1: Would you have been reading a newspaper yesterday?
2: Would I be reading a newspaper today?
3: Would I be scrolling Instagram today?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,I am reading a newspaper today,You were scrolling Instagram yesterday.,If I were you and you were me and if today were yesterday and yesterday were today;,Would you have been reading a newspaper yesterday?,Would I be reading a newspaper today?,Would I be scrolling Instagram today?
90,1,"['I think football is the best sport here', 'You think football is a nuisance there.']",['IPthinking+spatial'],"Select all questions to which the answer is 'yes'.
I think football is the best sport here. You think football is a nuisance there.","[1, 0, 0]",Regular,2,Mutual,"
1: Do I think football is the best sport here?
2: Do you think football is the best sport there?
3: Do I think football is a nuisance here?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,I think football is the best sport here,You think football is a nuisance there.,,Do I think football is the best sport here?,Do you think football is the best sport there?,Do I think football is a nuisance here?
91,2,"['I think football is the best sport here', 'You think football is a nuisance there.']",['IPthinking+spatial'],"Select all questions to which the answer is 'yes'.
I think football is the best sport here. You think football is a nuisance there. If I were you and you were me and if here were there and there were here;","[1, 0, 1]",IP+Spatial Reversal,2,Mutual,"
1: Would I think football is a nuisance here?
2: Would you think football is a nuisance there?
3: Would you think football is the best sport there?","['select', 'no select', 'select']",Select all questions to which the answer is 'yes'.,I think football is the best sport here,You think football is a nuisance there.,If I were you and you were me and if here were there and there were here;,Would I think football is a nuisance here?,Would you think football is a nuisance there?,Would you think football is the best sport there?
92,3,"['I think tennis is boring to watch here', 'You think tennis is very entertaining there.']",['IPthinking+spatial'],"Select all questions to which the answer is 'no'.
I think tennis is boring to watch here. You think tennis is very entertaining there.","[1, 0, 1]",Regular,2,Mutual,"
1: Do I think tennis is very entertaining here?
2: Do I think tennis is boring to watch here?
3: Do you think tennis is boring to watch there?","['select', 'no select', 'select']",Select all questions to which the answer is 'no'.,I think tennis is boring to watch here,You think tennis is very entertaining there.,,Do I think tennis is very entertaining here?,Do I think tennis is boring to watch here?,Do you think tennis is boring to watch there?
93,4,"['I think tennis is boring to watch here', 'You think tennis is very entertaining there.']",['IPthinking+spatial'],"Select all questions to which the answer is 'yes'.
I think tennis is boring to watch here. You think tennis is very entertaining there. If I were you and you were me and if here were there and there were here;","[1, 0, 0]",IP+Spatial Reversal,2,Mutual,"
1: Would I think tennis is very entertaining here?
2: Would I think tennis is boring to watch here?
3: Would you think tennis is very entertaining there?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,I think tennis is boring to watch here,You think tennis is very entertaining there.,If I were you and you were me and if here were there and there were here;,Would I think tennis is very entertaining here?,Would I think tennis is boring to watch here?,Would you think tennis is very entertaining there?
94,5,"['I think reading is fun here', 'You think reading is boring there.']",['IPthinking+spatial'],"Select all questions to which the answer is 'no'.
I think reading is fun here. You think reading is boring there.","[1, 0, 0]",Regular,2,Mutual,"
1: Do you think reading is fun there?
2: Do I think reading is fun here?
3: Do you think reading is boring there?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,I think reading is fun here,You think reading is boring there.,,Do you think reading is fun there?,Do I think reading is fun here?,Do you think reading is boring there?
95,6,"['I think reading is fun here', 'You think reading is boring there.']",['IPthinking+spatial'],"Select all questions to which the answer is 'no'.
I think reading is fun here. You think reading is boring there. If I were you and you were me and if here were there and there were here;","[1, 1, 0]",IP+Spatial Reversal,2,Mutual,"
1: Would I think reading is fun here?
2: Would you think reading is boring there?
3: Would you think reading is fun there?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I think reading is fun here,You think reading is boring there.,If I were you and you were me and if here were there and there were here;,Would I think reading is fun here?,Would you think reading is boring there?,Would you think reading is fun there?
96,7,"['You feel awfull here', 'I feel guilty there.']",['IPfeeling+spatial'],"Select all questions to which the answer is 'yes'.
You feel awfull here. I feel guilty there.","[1, 0, 0]",Regular,2,Mutual,"
1: Do you feel awfull here?
2: Do you feel guilty here?
3: Do I feel awfull there?","['select', 'no select', 'no select']",Select all questions to which the answer is 'yes'.,You feel awfull here,I feel guilty there.,,Do you feel awfull here?,Do you feel guilty here?,Do I feel awfull there?
97,8,"['You feel awfull here', 'I feel guilty there.']",['IPfeeling+spatial'],"Select all questions to which the answer is 'yes'.
You feel awfull here. I feel guilty there. If I were you and you were me and if here were there and there were here;","[1, 1, 0]",IP+Spatial Reversal,2,Mutual,"
1: Would you feel guilty here?
2: Would I feel awfull there?
3: Would you feel awfull here?","['select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,You feel awfull here,I feel guilty there.,If I were you and you were me and if here were there and there were here;,Would you feel guilty here?,Would I feel awfull there?,Would you feel awfull here?
98,9,"['I feel a little sick here', 'You feel fine there.']",['IPfeeling+spatial'],"Select all questions to which the answer is 'no'.
I feel a little sick here. You feel fine there.","[1, 1, 0]",Regular,2,Mutual,"
1: Do I feel fine here?
2: Do you feel a little sick there?
3: Do I feel a little sick here?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I feel a little sick here,You feel fine there.,,Do I feel fine here?,Do you feel a little sick there?,Do I feel a little sick here?
99,10,"['I feel a little sick here', 'You feel fine there.']",['IPfeeling+spatial'],"Select all questions to which the answer is 'no'.
I feel a little sick here. You feel fine there. If I were you and you were me and if here were there and there were here;","[0, 1, 0]",IP+Spatial Reversal,2,Mutual,"
1: Would you feel a little sick there?
2: Would I feel a little sick here?
3: Would I feel fine here?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I feel a little sick here,You feel fine there.,If I were you and you were me and if here were there and there were here;,Would you feel a little sick there?,Would I feel a little sick here?,Would I feel fine here?
100,11,"['I feel agitated here', 'You feel relaxed there.']",['IPfeeling+spatial'],"Select all questions to which the answer is 'yes'.
I feel agitated here. You feel relaxed there.","[0, 1, 0]",Regular,2,Mutual,"
1: Do you feel agitated there?
2: Do I feel agitated here?
3: Do I feel relaxed here?","['no select', 'select', 'no select']",Select all questions to which the answer is 'yes'.,I feel agitated here,You feel relaxed there.,,Do you feel agitated there?,Do I feel agitated here?,Do I feel relaxed here?
101,12,"['I feel agitated here', 'You feel relaxed there.']",['IPfeeling+spatial'],"Select all questions to which the answer is 'no'.
I feel agitated here. You feel relaxed there. If I were you and you were me and if here were there and there were here;","[0, 1, 0]",IP+Spatial Reversal,2,Mutual,"
1: Would I feel relaxed here?
2: Would I feel agitated here?
3: Would you feel agitated there?","['no select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I feel agitated here,You feel relaxed there.,If I were you and you were me and if here were there and there were here;,Would I feel relaxed here?,Would I feel agitated here?,Would you feel agitated there?
102,13,"['You are sitting on a blue chair here', 'I am sitting on a black chair there.']",['IPdoing+spatial'],"Select all questions to which the answer is 'no'.
You are sitting on a blue chair here. I am sitting on a black chair there.","[1, 0, 0]",Regular,2,Mutual,"
1: Am I sitting on a blue chair there?
2: Are you sitting on a blue chair here?
3: Am I sitting on a black chair there?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,You are sitting on a blue chair here,I am sitting on a black chair there.,,Am I sitting on a blue chair there?,Are you sitting on a blue chair here?,Am I sitting on a black chair there?
103,14,"['You are sitting on a blue chair here', 'I am sitting on a black chair there.']",['IPdoing+spatial'],"Select all questions to which the answer is 'no'.
You are sitting on a blue chair here. I am sitting on a black chair there. If I were you and you were me and if here were there and there were here;","[1, 0, 0]",IP+Spatial Reversal,2,Mutual,"
1: Would I be sitting on a black chair there?
2: Would I be sitting on a blue chair there?
3: Would you be sitting on a black chair here?","['select', 'no select', 'no select']",Select all questions to which the answer is 'no'.,You are sitting on a blue chair here,I am sitting on a black chair there.,If I were you and you were me and if here were there and there were here;,Would I be sitting on a black chair there?,Would I be sitting on a blue chair there?,Would you be sitting on a black chair here?
104,15,"['I am reading a magazine here', 'You are watching TikToks there.']",['IPdoing+spatial'],"Select all questions to which the answer is 'yes'.
I am reading a magazine here. You are watching TikToks there.","[0, 1, 1]",Regular,2,Mutual,"
1: Are you reading a magazine there?
2: Are you watching TikToks there?
3: Am I reading a magazine here?","['no select', 'select', 'select']",Select all questions to which the answer is 'yes'.,I am reading a magazine here,You are watching TikToks there.,,Are you reading a magazine there?,Are you watching TikToks there?,Am I reading a magazine here?
105,16,"['I am reading a magazine here', 'You are watching TikToks there.']",['IPdoing+spatial'],"Select all questions to which the answer is 'no'.
I am reading a magazine here. You are watching TikToks there. If I were you and you were me and if here were there and there were here;","[1, 1, 0]",IP+Spatial Reversal,2,Mutual,"
1: Would I be reading a magazine here?
2: Would you be watching TikToks there?
3: Would you be reading a magazine there?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,I am reading a magazine here,You are watching TikToks there.,If I were you and you were me and if here were there and there were here;,Would I be reading a magazine here?,Would you be watching TikToks there?,Would you be reading a magazine there?
106,17,"['I am reading a newspaper here', 'You are scrolling Instagram there.']",['IPdoing+spatial'],"Select all questions to which the answer is 'no'.
I am reading a newspaper here. You are scrolling Instagram there.","[0, 1, 1]",Regular,2,Mutual,"
1: Are you scrolling Instagram there?
2: Am I scrolling Instagram here?
3: Are you reading a newspaper there?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,I am reading a newspaper here,You are scrolling Instagram there.,,Are you scrolling Instagram there?,Am I scrolling Instagram here?,Are you reading a newspaper there?
107,18,"['I am reading a newspaper here', 'You are scrolling Instagram there.']",['IPdoing+spatial'],"Select all questions to which the answer is 'no'.
I am reading a newspaper here. You are scrolling Instagram there. If I were you and you were me and if here were there and there were here;","[0, 1, 1]",IP+Spatial Reversal,2,Mutual,"
1: Would you be reading a newspaper there?
2: Would you be scrolling Instagram there?
3: Would I be reading a newspaper here?","['no select', 'select', 'select']",Select all questions to which the answer is 'no'.,I am reading a newspaper here,You are scrolling Instagram there.,If I were you and you were me and if here were there and there were here;,Would you be reading a newspaper there?,Would you be scrolling Instagram there?,Would I be reading a newspaper here?
108,1,"['You think it is okay to cry sometimes here today', 'I thought crying is for children there yesterday.']",['IPthinking+temporal+spatial'],"Select all questions to which the answer is 'no'.
You think it is okay to cry sometimes here today. I thought crying is for children there yesterday.","[1, 1, 0]",Regular,2,Mutual,"
1: Do you think crying is for children here today?
2: Did I think it is okay to cry sometimes there yesterday?
3: Do you think it is okay to cry sometimes here today?","['select', 'select', 'no select']",Select all questions to which the answer is 'no'.,You think it is okay to cry sometimes here today,I thought crying is for children there yesterday.,,Do you think crying is for children here today?,Did I think it is okay to cry sometimes there yesterday?,Do you think it is okay to cry sometimes here today?
